ECFP4_Fingerprint_component	sign_Log2FC	rank_sum	rank_sum_rank
ECFP4_1171	1	12188	2048
ECFP4_0283	1	12151	2047
ECFP4_1057	1	12146	2046
ECFP4_1039	1	12135	2045
ECFP4_1911	-1	12114	2044
ECFP4_1060	1	12106	2043
ECFP4_1243	-1	12092	2042
ECFP4_0875	-1	12079	2041
ECFP4_0397	1	12069	2040
ECFP4_1274	1	12042	2039
ECFP4_1685	1	12040	2038
ECFP4_1816	-1	12028	2037
ECFP4_0237	1	12027	2036
ECFP4_0926	1	12011	2035
ECFP4_1088	1	12000	2034
ECFP4_0782	1	11974	2033
ECFP4_0667	-1	11971	2032
ECFP4_0001	1	11968	2031
ECFP4_1152	1	11964	2030
ECFP4_1325	-1	11952	2029
ECFP4_0446	-1	11948	2027
ECFP4_1017	1	11948	2027
ECFP4_1989	-1	11946	2026
ECFP4_1114	1	11945	2025
ECFP4_0739	-1	11910	2024
ECFP4_0225	1	11872	2023
ECFP4_0229	1	11871	2022
ECFP4_0807	1	11866	2021
ECFP4_1295	1	11864	2020
ECFP4_0384	1	11863	2019
ECFP4_0184	-1	11856	2018
ECFP4_1145	-1	11845	2017
ECFP4_1946	1	11844	2016
ECFP4_1769	1	11834	2015
ECFP4_1048	1	11825	2014
ECFP4_1386	1	11822	2013
ECFP4_0140	1	11806	2012
ECFP4_1349	1	11801	2010
ECFP4_1917	1	11801	2010
ECFP4_0294	1	11797	2009
ECFP4_1380	1	11770	2008
ECFP4_1309	1	11764	2007
ECFP4_0718	-1	11756	2006
ECFP4_1162	1	11732	2005
ECFP4_0316	1	11725	2004
ECFP4_2009	-1	11706	2003
ECFP4_1603	1	11700	2002
ECFP4_1236	1	11695	2001
ECFP4_1708	1	11691	2000
ECFP4_1564	-1	11690	1999
ECFP4_1873	1	11689	1998
ECFP4_0787	1	11674	1997
ECFP4_0695	1	11673	1996
ECFP4_0013	-1	11671	1995
ECFP4_0843	-1	11669	1994
ECFP4_0547	1	11662	1993
ECFP4_0786	1	11661	1992
ECFP4_2033	1	11658	1991
ECFP4_0628	1	11655	1990
ECFP4_1447	1	11643	1989
ECFP4_1200	1	11619	1988
ECFP4_1457	1	11617	1986
ECFP4_1908	1	11617	1986
ECFP4_0319	-1	11616	1985
ECFP4_1981	1	11613	1984
ECFP4_1991	1	11606	1983
ECFP4_0715	-1	11603	1982
ECFP4_0650	1	11600	1981
ECFP4_1855	-1	11592	1980
ECFP4_1919	1	11588	1979
ECFP4_0816	-1	11587	1978
ECFP4_1747	1	11575	1977
ECFP4_0325	1	11574	1976
ECFP4_1697	-1	11560	1975
ECFP4_1536	-1	11539	1974
ECFP4_1004	1	11533	1973
ECFP4_1199	1	11465	1972
ECFP4_0655	1	11453	1971
ECFP4_0800	-1	11432	1970
ECFP4_1208	1	11428	1969
ECFP4_0581	1	11413	1968
ECFP4_1959	1	11405	1967
ECFP4_0191	-1	11404	1966
ECFP4_0837	1	11402	1965
ECFP4_0227	1	11401	1964
ECFP4_1481	1	11382	1963
ECFP4_0711	1	11374	1962
ECFP4_1366	1	11371	1961
ECFP4_0370	1	11365	1960
ECFP4_1982	1	11357	1959
ECFP4_0891	1	11344	1958
ECFP4_0396	1	11314	1957
ECFP4_1923	1	11304	1956
ECFP4_0552	1	11288	1955
ECFP4_1550	1	11283	1953
ECFP4_2020	1	11283	1953
ECFP4_1022	1	11280	1952
ECFP4_0523	1	11274	1951
ECFP4_0690	1	11271	1950
ECFP4_1294	1	11238	1949
ECFP4_1365	1	11233	1948
ECFP4_0706	1	11223	1947
ECFP4_0898	1	11217	1946
ECFP4_1999	1	11208	1945
ECFP4_1690	-1	11201	1944
ECFP4_0249	-1	11197	1943
ECFP4_1897	1	11196	1942
ECFP4_1781	1	11177	1941
ECFP4_0255	1	11162	1940
ECFP4_1480	-1	11160	1939
ECFP4_1866	1	11149	1938
ECFP4_0724	-1	11141	1937
ECFP4_1960	1	11134	1936
ECFP4_0261	1	11128	1935
ECFP4_1980	1	11124	1934
ECFP4_0092	-1	11122	1932
ECFP4_1535	1	11122	1932
ECFP4_1224	1	11109	1931
ECFP4_0241	-1	11104	1930
ECFP4_0366	-1	11097	1929
ECFP4_1470	1	11088	1928
ECFP4_0781	-1	11079	1927
ECFP4_0679	1	11058	1925
ECFP4_1773	-1	11058	1925
ECFP4_1442	-1	11054	1924
ECFP4_1245	-1	11050	1923
ECFP4_1338	1	11049	1922
ECFP4_0034	1	11046	1920
ECFP4_0910	1	11046	1920
ECFP4_0118	-1	11025	1919
ECFP4_0942	-1	10994	1918
ECFP4_1183	-1	10993	1917
ECFP4_0042	-1	10990	1916
ECFP4_0504	-1	10984	1915
ECFP4_0674	1	10976	1914
ECFP4_0862	1	10963	1913
ECFP4_0470	1	10962	1912
ECFP4_0828	-1	10960	1911
ECFP4_0171	1	10958	1910
ECFP4_0656	1	10952	1909
ECFP4_1005	-1	10943	1908
ECFP4_1951	-1	10942	1907
ECFP4_0369	-1	10937	1906
ECFP4_1077	-1	10933	1905
ECFP4_0992	1	10923	1904
ECFP4_1729	-1	10915	1903
ECFP4_1416	1	10909	1902
ECFP4_1265	1	10907	1901
ECFP4_1085	1	10905	1900
